Neighborhood,zip1,zip2,zip3,zip4,zip5,zip6,zip7,zip8
Cathedral District,60611,,,,,,,
Central Station,60605,,,,,,,
Dearborn Park,60605,,,,,,,
Gold Coast ,60610, 60611,,,,,,
Loop,60601, 60602, 60603, 60604, 60605, 60606, 60607, 60616
Magnificent Mile,60611,,,,,,,
Museum Campus,60605,,,,,,,
Near North Side,60610, 60611, 60642, 60654,,,,
Near West Side,60606, 60607, 60608, 60610, 60612, 60661,,
New East Side,60601,,,,,,,
Noble Square,60622,,,,,,,
Old Town,60610,,,,,,,
Printers Row,60605,,,,,,,
Randolph Market,60607, 60661,,,,,,
River East,60611,,,,,,,
River North,60611, 60654,,,,,,
River West,60622, 60610,,,,,,
South Loop,60605, 60607, 60608, 60616,,,,
Streeterville,60611,,,,,,,
Tri-Taylor,60612,,,,,,,
Ukrainian Village,60612, 60622,,,,,,
West Loop,60607,,,,,,,
West Town,60612, 60622, 60642, 60647,,,,
Wicker Park ,60622,,,,,,,
Alta Vista Terrace,60613,,,,,,,
Belmont Harbor,60657,,,,,,,
Boys Town,60613, 60657,,,,,,
Bucktown,60614, 60622, 60647,,,,,
DePaul,60614,,,,,,,
Lakeview,60613, 60657,,,,,,
Lakeview Central,60657,,,,,,,
Lakeview East,60613, 60657,,,,,,
Lincoln Park,60610, 60614,,,,,,
Lincoln Square,60625,,,,,,,
North Center,60613, 60618,,,,,,
North Halsted,60613, 60657,,,,,,
Old Town Triangle ,60614,,,,,,,
Park West,60614,,,,,,,
Ranch Triangle,60614,,,,,,,
Roscoe Village,60618, 60657,,,,,,
Sheffield,60614,,,,,,,
Uptown,60640,,,,,,,
West DePaul,60614,,,,,,,
Wrightwood Neighbors,60614,,,,,,,
Wrigleyville,60613,,,,,,,
Andersonville,60640,,,,,,,
Budlong Woods,60625,,,,,,,
Buena Park,60613, 60640,,,,,,
East Ravenswood,60613, 60640,,,,,,
Edgewater,60640, 60660,,,,,,
Edgewater Glen,60640, 60660,,,,,,
Edison Park,60631,,,,,,,
Middle Edgebrook,60630, 60646,,,,,,
North Edgebrook,60630, 60646,,,,,,
Old Irving Park,60641,,,,,,,
Peterson Park,60659,,,,,,,
Ravenswood ,60613, 60625, 60640,,,,,
West Ridge,60645, 60659,,,,,,
West Rogers Park,60645, 60659, 60660,,,,,
Albany Park,60625,,,,,,,
Avondale ,60618,,,,,,,
Belmont Gardens,60639, 60641,,,,,,
Forest Glen,60630,,,,,,,
Irving Park,60618,,,,,,,
Jefferson Park ,60630,,,,,,,
Mayfair,60630,,,,,,,
North Park,60625,,,,,,,
Norwood Park ,60631,,,,,,,
Old Edgebrook ,60646,,,,,,,
Old Norwood Park ,60631,,,,,,,
Portage Park,60634, 60641,,,,,,
Ravenswood Manor ,60625,,,,,,,
Sauganash ,60630, 60646,,,,,,
Sauganash Woods,60630,,,,,,,
Schorsch Forest View,60656,,,,,,,
South Edgebrook,60646,,,,,,,
Union Ridge,60656,,,,,,,